;O_P_ Numero;Item_O_P;Desc_item;ITEMS_NUEVO ;Bodega;Fecha;U_M_inv.;Neto_peso;Entradas_peso;Entradas_inv;Salidas_inv;Salidas_peso;Salidas_prom;Neto_prom;Costo_MP_sal;Costo_MO_sal;Costo_CIF_sal;Tipo_inventario;Costo_CIF_NP_ent;Costo_MO_ent;Costo_CIF_EN_ent;Tipo_docto
;OP-00001711;"00005003 TUBO RED HR 1/2"" CAL.18 LEG";"TUBO RED HR 1/2"" CAL.18 LEG";"OP-0000171100005003 TUBO RED HR 1/2"" CAL.18 LEG";00105;11/02/2022;Und ;850,70;850,70;235,00;0,00;0,00;$0,00;$2.432.127,41;$0,00;$0,00;$0,00;IN143005  ;$16.550,02;$33.350,43;$59.181,55;EDP
;OP-00001712;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;KILOS ALAMBRE FORRADO PVC 12.5;OP-0000171200004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;07/02/2022;kg  ;-2,00;0,00;0,00;2,00;2,00;$12.228,64;-$12.228,64;$12.228,64;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001712;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;KILOS ALAMBRE GALV CAL. 17 (1,45 MM);OP-0000171200004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;07/02/2022;kg  ;-280,00;0,00;0,00;280,00;280,00;$1.452.365,60;-$1.452.365,60;$1.452.365,60;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001712;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;OP-0000171200004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;11/02/2022;Und ;310,00;310,00;20,00;0,00;0,00;$0,00;$1.734.522,24;$0,00;$0,00;$0,00;IN143005  ;$0,00;$89.232,00;$180.696,00;EDP
;OP-00001713;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;KILOS ALAMBRE FORRADO PVC 12.5;OP-0000171300004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;08/02/2022;kg  ;-3,00;0,00;0,00;3,00;3,00;$18.342,96;-$18.342,96;$18.342,96;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001713;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;KILOS ALAMBRE GALV CAL. 17 (1,45 MM);OP-0000171300004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;08/02/2022;kg  ;-448,00;0,00;0,00;448,00;448,00;$2.323.784,96;-$2.323.784,96;$2.323.784,96;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001713;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;OP-0000171300004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;11/02/2022;Und ;496,00;496,00;32,00;0,00;0,00;$0,00;$2.612.055,92;$0,00;$0,00;$0,00;IN143005  ;$0,00;$89.232,00;$180.696,00;EDP
;OP-00001714;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;KILOS ALAMBRE FORRADO PVC 12.5;OP-0000171400004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;09/02/2022;kg  ;-3,00;0,00;0,00;3,00;3,00;$18.342,96;-$18.342,96;$18.342,96;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001714;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;KILOS ALAMBRE GALV CAL. 17 (1,45 MM);OP-0000171400004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;09/02/2022;kg  ;-518,00;0,00;0,00;518,00;518,00;$2.686.876,36;-$2.686.876,36;$2.686.876,36;$0,00;$0,00;IN140506  ;$0,00;$0,00;$0,00;SCM
;OP-00001714;00004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;OP-0000171400004546 ROLLO ALAMBRE PUA IMPACTO COD 16-5X400 M;00105;11/02/2022;Und ;573,50;573,50;37,00;0,00;0,00;$0,00;$2.975.147,32;$0,00;$0,00;$0,00;IN143005  ;$0,00;$89.232,00;$180.696,00;EDP
